File: qperf-go
Type: cpu
Time: Nov 16, 2023 at 7:29pm (CET)
Duration: 5.50s, Total samples = 10.02s (182.02%)
Showing nodes accounting for 10.02s, 100% of 10.02s total
      flat  flat%   sum%        cum   cum%
     2.46s 24.55% 24.55%      2.46s 24.55%  runtime/internal/syscall.Syscall6
     1.47s 14.67% 39.22%      1.47s 14.67%  crypto/aes.gcmAesDec
     0.42s  4.19% 43.41%      0.42s  4.19%  runtime.memmove
     0.28s  2.79% 46.21%      0.28s  2.79%  runtime.usleep
     0.19s  1.90% 48.10%      0.19s  1.90%  runtime.futex
     0.17s  1.70% 49.80%      0.78s  7.78%  runtime.stealWork
     0.14s  1.40% 51.20%      0.14s  1.40%  runtime.(*randomEnum).next (inline)
     0.14s  1.40% 52.59%      0.15s  1.50%  runtime.mapaccess2_fast64
     0.10s     1% 53.59%      0.10s     1%  runtime.lock2
     0.10s     1% 54.59%      0.37s  3.69%  runtime.mallocgc
     0.10s     1% 55.59%      0.21s  2.10%  sync.(*Pool).getSlow
     0.09s   0.9% 56.49%      0.11s  1.10%  runtime.casgstatus
     0.09s   0.9% 57.39%      0.09s   0.9%  runtime.memclrNoHeapPointers
     0.09s   0.9% 58.28%      0.09s   0.9%  time.Now
     0.08s   0.8% 59.08%      0.08s   0.8%  runtime.pMask.read (inline)
     0.08s   0.8% 59.88%      0.17s  1.70%  sync.(*Mutex).Unlock (partial-inline)
     0.07s   0.7% 60.58%      0.07s   0.7%  crypto/aes.encryptBlockAsm
     0.07s   0.7% 61.28%      0.20s  2.00%  golang.org/x/net/internal/socket.parseInetAddr
     0.07s   0.7% 61.98%      0.07s   0.7%  runtime.read
     0.07s   0.7% 62.67%      0.07s   0.7%  runtime.write1
     0.07s   0.7% 63.37%      0.08s   0.8%  sync.(*Pool).pin
     0.07s   0.7% 64.07%      0.11s  1.10%  sync.(*poolChain).popTail
     0.06s   0.6% 64.67%      0.06s   0.6%  github.com/quic-go/quic-go.(*packetBuffer).Decrement (inline)
     0.06s   0.6% 65.27%      0.06s   0.6%  runtime.(*itabTableType).find
     0.06s   0.6% 65.87%      0.06s   0.6%  runtime.nextFreeFast (inline)
     0.06s   0.6% 66.47%      0.18s  1.80%  runtime.selectgo
     0.06s   0.6% 67.07%      0.06s   0.6%  runtime.unlock2
     0.05s   0.5% 67.56%      1.11s 11.08%  github.com/quic-go/quic-go.(*connection).handleFrames
     0.05s   0.5% 68.06%      2.01s 20.06%  github.com/quic-go/quic-go.(*oobConn).ReadPacket
     0.05s   0.5% 68.56%      0.13s  1.30%  github.com/quic-go/quic-go/internal/flowcontrol.(*streamFlowController).AddBytesRead
     0.05s   0.5% 69.06%      0.09s   0.9%  golang.org/x/net/internal/socket.(*mmsghdrsPacker).pack
     0.05s   0.5% 69.56%      0.09s   0.9%  runtime.scanobject
     0.04s   0.4% 69.96%      1.59s 15.87%  crypto/aes.(*gcmAsm).Open
     0.04s   0.4% 70.36%      0.15s  1.50%  github.com/quic-go/quic-go.(*frameSorter).push
     0.04s   0.4% 70.76%      0.08s   0.8%  github.com/quic-go/quic-go.(*packetHandlerMap).GetByResetToken
     0.04s   0.4% 71.16%      0.08s   0.8%  github.com/quic-go/quic-go/internal/congestion.(*pacer).Budget
     0.04s   0.4% 71.56%      0.04s   0.4%  github.com/quic-go/quic-go/internal/flowcontrol.(*baseFlowController).hasWindowUpdate (inline)
     0.04s   0.4% 71.96%      0.04s   0.4%  runtime.mapaccess2
     0.04s   0.4% 72.36%      0.51s  5.09%  runtime.netpoll
     0.03s   0.3% 72.65%      0.03s   0.3%  crypto/subtle.ConstantTimeCompare (inline)
     0.03s   0.3% 72.95%      0.11s  1.10%  github.com/quic-go/quic-go.(*Transport).maybeHandleStatelessReset
     0.03s   0.3% 73.25%      2.57s 25.65%  github.com/quic-go/quic-go.(*connection).handlePacketImpl
     0.03s   0.3% 73.55%      0.07s   0.7%  github.com/quic-go/quic-go.(*connection).logShortHeaderPacket
     0.03s   0.3% 73.85%      0.48s  4.79%  github.com/quic-go/quic-go.(*connection).triggerSending
     0.03s   0.3% 74.15%      0.05s   0.5%  github.com/quic-go/quic-go.(*packetHandlerMap).Get
     0.03s   0.3% 74.45%      0.05s   0.5%  github.com/quic-go/quic-go/internal/ackhandler.(*receivedPacketTracker).ReceivedPacket
     0.03s   0.3% 74.75%      0.92s  9.18%  github.com/quic-go/quic-go/internal/handshake.(*updatableAEAD).open
     0.03s   0.3% 75.05%      0.03s   0.3%  github.com/quic-go/quic-go/internal/wire.(*AckFrame).LargestAcked (inline)
     0.03s   0.3% 75.35%      0.03s   0.3%  runtime.(*randomOrder).start (inline)
     0.03s   0.3% 75.65%      0.03s   0.3%  runtime.acquireSudog
     0.03s   0.3% 75.95%      1.55s 15.47%  runtime.findRunnable
     0.03s   0.3% 76.25%      0.16s  1.60%  runtime.makeslice
     0.03s   0.3% 76.55%      0.26s  2.59%  runtime.newobject
     0.03s   0.3% 76.85%      0.09s   0.9%  runtime.semrelease1
     0.03s   0.3% 77.15%      0.33s  3.29%  sync.(*Pool).Get
     0.03s   0.3% 77.45%      0.12s  1.20%  sync.(*Pool).Put
     0.03s   0.3% 77.74%      0.06s   0.6%  sync.(*poolChain).pushHead
     0.03s   0.3% 78.04%      0.03s   0.3%  sync.(*poolDequeue).popHead
     0.03s   0.3% 78.34%      0.03s   0.3%  sync.(*poolDequeue).pushHead
     0.03s   0.3% 78.64%      0.03s   0.3%  sync/atomic.(*Int32).Add (inline)
     0.02s   0.2% 78.84%      0.02s   0.2%  bytes.(*Reader).ReadByte
     0.02s   0.2% 79.04%      0.77s  7.68%  github.com/quic-go/qtls-go1-20.(*halfConn).decrypt
     0.02s   0.2% 79.24%      0.28s  2.79%  github.com/quic-go/quic-go.(*Transport).handlePacket
     0.02s   0.2% 79.44%      2.31s 23.05%  github.com/quic-go/quic-go.(*Transport).listen
     0.02s   0.2% 79.64%      0.02s   0.2%  github.com/quic-go/quic-go.(*connection).nextIdleTimeoutTime
     0.02s   0.2% 79.84%      0.10s     1%  github.com/quic-go/quic-go.(*connectionTimer).SetTimer
     0.02s   0.2% 80.04%      1.16s 11.58%  github.com/quic-go/quic-go.(*packetUnpacker).UnpackShortHeader
     0.02s   0.2% 80.24%      0.11s  1.10%  github.com/quic-go/quic-go.(*packetUnpacker).unpackShortHeader
     0.02s   0.2% 80.44%      1.10s 10.98%  github.com/quic-go/quic-go.(*packetUnpacker).unpackShortHeaderPacket
     0.02s   0.2% 80.64%      0.27s  2.69%  github.com/quic-go/quic-go.(*receiveStream).handleStreamFrameImpl
     0.02s   0.2% 80.84%      0.02s   0.2%  github.com/quic-go/quic-go/internal/ackhandler.(*sentPacketHandler).ReceivedBytes
     0.02s   0.2% 81.04%      0.06s   0.6%  github.com/quic-go/quic-go/internal/ackhandler.(*sentPacketHandler).SentPacket
     0.02s   0.2% 81.24%      0.06s   0.6%  github.com/quic-go/quic-go/internal/flowcontrol.(*connectionFlowController).AddBytesRead
     0.02s   0.2% 81.44%      0.04s   0.4%  github.com/quic-go/quic-go/internal/handshake.(*cryptoSetup).Get1RTTOpener
     0.02s   0.2% 81.64%      0.89s  8.88%  github.com/quic-go/quic-go/internal/handshake.(*xorNonceAEAD).Open
     0.02s   0.2% 81.84%      0.02s   0.2%  github.com/quic-go/quic-go/internal/protocol.DecodePacketNumber
     0.02s   0.2% 82.04%      0.02s   0.2%  github.com/quic-go/quic-go/internal/wire.IsLongHeaderPacket (inline)
     0.02s   0.2% 82.24%      0.03s   0.3%  github.com/quic-go/quic-go/internal/wire.ParseShortHeader
     0.02s   0.2% 82.44%      0.04s   0.4%  github.com/quic-go/quic-go/logging.(*connTracerMultiplexer).ReceivedShortHeaderPacket
     0.02s   0.2% 82.63%      0.02s   0.2%  github.com/quic-go/quic-go/logging.(*connTracerMultiplexer).XadsReceiveRecord
     0.02s   0.2% 82.83%      0.04s   0.4%  github.com/quic-go/quic-go/quicvarint.Read
     0.02s   0.2% 83.03%      1.78s 17.76%  golang.org/x/net/internal/socket.(*Conn).recvMsgs
     0.02s   0.2% 83.23%      0.03s   0.3%  golang.org/x/net/internal/socket.(*msghdr).pack
     0.02s   0.2% 83.43%      1.42s 14.17%  internal/poll.(*FD).RawRead
